Tournament,Distance,Time,Time Zone,Days,
Dubai,7300,1150,12,,
Sydney,7776,930,19,56,
Commonwealth,7392,1185,19,76,
Kitakyushu,4535,1090,-1,6,
Langford,0,0,0,20,
Paris,4930,590,9,26,
World Cup,801,139,0,40,
